city,lon,lat,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
bengkulu,102.2655,-3.8004,74.01,92,94,2.28,ID,1659565314
kodiak,-152.4072,57.79,67.51,56,0,13.8,US,1659565315
new norfolk,147.0587,-42.7826,51.93,86,50,1.01,AU,1659565315
punta arenas,-70.9167,-53.15,39.31,87,75,13.8,CL,1659565100
amderma,,,,,,,,
khatanga,102.5,71.9667,50.54,66,100,9.35,RU,1659565316
belushya guba,,,,,,,,
dingle,122.6711,10.9995,76.66,91,99,3.2,PH,1659565316
saint-augustin,-58.6502,51.226,66.7,70,16,10.36,CA,1659565316
nikolskoye,30.7861,59.7035,62.49,85,39,2.75,RU,1659565317
balkanabat,54.3671,39.5108,91.18,19,17,7.72,TM,1659565317
dudinka,86.1778,69.4058,51.62,67,15,2.51,RU,1659565317
busselton,115.3333,-33.65,52.99,72,91,17.07,AU,1659565317
antofagasta,-70.4,-23.65,58.28,77,4,10.36,CL,1659565088
tiksi,128.8694,71.6872,44.71,76,99,8.21,RU,1659565318
arman,150.1667,59.7,57.02,86,100,4.92,RU,1659565318
bredasdorp,20.0403,-34.5322,48,92,4,5.48,ZA,1659565318
rikitea,-134.9692,-23.1203,71.74,69,39,15.23,PF,1659565067
ushuaia,-68.3,-54.8,37.06,87,40,3.44,AR,1659565223
abu samrah,37.1841,35.3029,80.47,47,0,6.87,SY,1659565319
orito,-76.8771,0.6766,81.66,77,88,1.83,CO,1659565319
yatou,122.3833,37.15,78.15,95,1,6.02,CN,1659565320
asau,26.4,46.4333,66.96,88,7,4.72,RO,1659565320
mataura,168.8643,-46.1927,44.47,81,100,4.99,NZ,1659565320
saskylakh,114.0833,71.9167,47.16,59,100,10.63,RU,1659565320
anandpur sahib,76.5,31.25,79.54,83,35,3.58,IN,1659565321
illoqqortoormiut,,,,,,,,
chuy,-53.4616,-33.6971,57.47,99,100,5.5,UY,1659565321
piopio,175.0167,-38.4667,54.5,89,35,0.69,NZ,1659565321
attawapiskat,,,,,,,,
necochea,-58.7368,-38.5473,46.67,92,1,6.46,AR,1659565322
east london,27.9116,-33.0153,69.26,49,58,7.52,ZA,1659565322
chagda,,,,,,,,
meshchovsk,35.2808,54.3244,63.25,89,99,5.28,RU,1659565323
taolanaro,,,,,,,,
kita,-9.4895,13.0349,75.02,89,94,1.88,ML,1659565323
at-bashi,75.8106,41.1702,54.12,65,53,1.72,KG,1659565324
airai,125.4092,-8.9266,54.9,68,95,2.71,TL,1659565324
albany,-73.9662,42.6001,88.88,46,4,1.99,US,1659565200
vaini,-175.2,-21.2,75.27,81,25,18.39,TO,1659565326
jamestown,-79.2353,42.097,89.94,41,0,10.36,US,1659565326
provideniya,-173.3,64.3833,46.51,87,75,6.71,RU,1659565326
solovetskiy,,,,,,,,
sarh,18.3923,9.1429,75.11,100,0,3.44,TD,1659565327
ribeira grande,-28.7,38.5167,76.1,87,18,6.49,PT,1659565327
vila franca do campo,-25.4333,37.7167,73.81,88,35,5.88,PT,1659565328
ponta do sol,-17.1,32.6667,71.71,82,2,7.7,PT,1659565328
tasiilaq,-37.6368,65.6145,35.76,70,75,3,GL,1659565328
butaritari,172.7902,3.0707,81.59,77,87,15.57,KI,1659565329
maneadero,-116.5667,31.7167,73.09,79,37,4,MX,1659565329
andra,65.8878,62.5147,56.91,67,12,3.78,RU,1659565329
dunedin,170.5036,-45.8742,48.79,75,100,3,NZ,1659565254
sorong,131.25,-0.8833,77.72,88,100,7.09,ID,1659565330
sikonge,32.7667,-5.6333,71.11,37,90,4.5,TZ,1659565330
taksimo,114.8794,56.3444,61.45,80,96,3.69,RU,1659565331
mount isa,139.5,-20.7333,69.57,68,40,0,AU,1659565331
saint-philippe,55.7679,-21.3585,65.21,83,50,7.94,RE,1659565331
mushabani,86.45,22.5167,79.52,90,100,3.42,IN,1659565332
kapaa,-159.319,22.0752,82.72,66,20,11.5,US,1659565332
staunton,-79.0717,38.1496,88.18,55,0,8.05,US,1659565333
muisne,-80.0333,0.6,74.07,85,100,11.72,EC,1659565333
atuona,-139.0333,-9.8,77.29,79,15,13.67,PF,1659565225
nizhneyansk,,,,,,,,
sisimiut,-53.6735,66.9395,48.15,85,100,6.29,GL,1659565333
coeneo,-101.5833,19.8167,69.93,74,91,1.3,MX,1659565334
lakselv,24.9718,70.0513,58.82,72,0,9.22,NO,1659565334
mozhga,52.2276,56.4447,65.64,73,59,2.46,RU,1659565335
hovd,91.6419,48.0056,64.27,47,98,2.39,MN,1659565335
cabo san lucas,-109.9124,22.8909,94.6,43,0,9.22,MX,1659565335
kudahuvadhoo,72.8944,2.6708,81.05,77,97,19.55,MV,1659565336
badaojiang,,,,,,,,
almaznyy,40.045,48.0448,67.96,81,100,3.6,RU,1659565336
roma,-75.4557,43.2128,88.68,44,0,10.36,US,1659565142
lebu,-73.65,-37.6167,49.17,85,64,4.32,CL,1659565337
jawhar,45.5005,2.7809,74.43,80,54,14,SO,1659565337
dikson,80.5464,73.5069,41.9,99,100,9.26,RU,1659565337
puerto ayora,-90.3518,-0.7393,78.76,82,74,8.99,EC,1659565338
avarua,-159.775,-21.2078,77.05,53,20,16.11,CK,1659565338
gigmoto,124.39,13.7796,81.09,86,100,5.39,PH,1659565339
hilo,-155.09,19.7297,84.25,74,40,10.36,US,1659565339
victoria,114.1577,22.2855,82.45,86,100,8.01,HK,1659565336
moron,-58.6198,-34.6534,56.95,78,82,8.97,AR,1659565339
barrow,-156.7887,71.2906,53.94,58,100,12.97,US,1659565293
port elizabeth,25.5701,-33.918,59.29,88,0,13.8,ZA,1659565081
senno,33.9167,59.5336,53.26,82,9,2.75,RU,1659565340
umzimvubu,,,,,,,,
san patricio,-97.5169,28.017,99.18,43,46,21.88,US,1659565340
waipawa,175.5153,-41.4122,51.55,74,100,7.23,NZ,1659565341
cabatuan,122.486,10.8794,76.03,91,98,3.13,PH,1659565341
port lincoln,135.8667,-34.7333,56.44,68,2,27.36,AU,1659565341
namibe,12.1522,-15.1961,60.17,81,2,4.72,AO,1659565342
ayr,-4.6339,55.4627,57.18,88,75,4.61,GB,1659565342
srikakulam,83.9,18.3,81.5,78,100,2.62,IN,1659565342
hermanus,19.2345,-34.4187,52.81,84,3,12.28,ZA,1659565343
tomigusuku,127.675,26.185,83.97,84,40,4.61,JP,1659565343
lerwick,-1.1494,60.1545,53.6,81,37,13.73,GB,1659565343
beloha,45.05,-25.1667,63.07,83,0,10.25,MG,1659565344
naze,129.4833,28.3667,79.72,86,68,3.74,JP,1659565344
nchelenge,28.734,-9.3451,66.38,59,5,6.67,ZM,1659565344
chengde,117.9361,40.9725,76.1,81,100,1.57,CN,1659565344
polyarnyy,33.4478,69.1989,54.07,83,84,10.16,RU,1659565345
geraldton,114.6,-28.7667,59.41,72,75,13.8,AU,1659565345
tuktoyaktuk,-133.0374,69.4541,51.8,82,40,9.22,CA,1659565345
hobart,147.3294,-42.8794,52.27,82,20,17.27,AU,1659565346
los llanos de aridane,-17.9182,28.6585,71.13,89,75,18.41,ES,1659565346
bluff,168.3333,-46.6,44.8,69,100,21.72,NZ,1659565346
puerto penasco,-113.5333,31.3167,86.92,73,62,18.01,MX,1659565347
lavrentiya,-171,65.5833,49.53,80,28,7.7,RU,1659565347
xiangxiang,112.5333,27.7333,79.95,78,36,2.53,CN,1659565347
carnarvon,113.6333,-24.8667,64.8,58,100,17.9,AU,1659565348
ketchikan,-131.6461,55.3422,58.98,74,98,3.62,US,1659565348
shumskiy,99.1328,54.8318,52.43,92,100,2.84,RU,1659565348
dekar,21.9333,-21.5333,59.4,25,26,3.47,BW,1659565349
ishigaki,124.1572,24.3448,80.73,94,20,2.3,JP,1659565349
domoni,44.5319,-12.2569,73.08,77,0,2.33,KM,1659565349
hualmay,-77.6139,-11.0964,64.27,77,23,10.4,PE,1659565350
castro,-50.0119,-24.7911,61.45,68,4,5.21,BR,1659565350
lorengau,147.2712,-2.0226,81.05,83,87,12.06,PG,1659565350
betma,75.6167,22.6833,77.05,88,100,3.78,IN,1659565351
florianopolis,-48.5012,-27.6146,65.7,84,75,12.66,BR,1659565351
noumea,166.4572,-22.2763,76.98,99,61,10.18,NC,1659565351
kavieng,150.7967,-2.5744,82.15,79,94,17.85,PG,1659565351
mys shmidta,,,,,,,,
zhezkazgan,67.7144,47.8043,67.62,69,100,11.12,KZ,1659565352
sentyabrskiy,,,,,,,,
mount gambier,140.7667,-37.8333,49.19,86,20,11.74,AU,1659565352
yellowknife,-114.3525,62.456,66.72,37,40,12.66,CA,1659565353
manado,124.8455,1.487,74.17,94,40,3.44,ID,1659565353
chifeng,118.9636,42.2683,77.25,74,99,4.99,CN,1659565320
sampit,112.95,-2.5333,72.66,99,95,1.99,ID,1659565353
hannibal,-91.3585,39.7084,90.34,45,89,3.71,US,1659565080
faanui,-151.75,-16.4833,78.55,75,8,22.44,PF,1659565354
chara,118.2631,56.9064,63.99,77,100,2.75,RU,1659565354
ust-kuyga,135.6,70.0167,45.7,77,100,4,RU,1659565354
beidao,105.8933,34.5686,69.08,91,1,2.86,CN,1659565355
gasa,34.4667,31.5,79.03,78,7,3.02,PS,1659565355
akyab,92.9,20.15,81.82,83,100,10.85,MM,1659565355
atka,,,,,,,,
tuatapere,167.6833,-46.1333,49.23,79,97,10.25,NZ,1659565356
cape town,18.4232,-33.9258,55.9,80,94,5.01,ZA,1659565109
rio grande,-52.0986,-32.035,60.91,98,100,10.71,BR,1659565163
tabiauea,,,,,,,,
